,text,sentiment,label
14,"['@hsbc_uk', 'just', 'say', 'waiting', 'for', 'nearly', '15', 'minutes', 'for', 'it', 'to', 'ring', 'twice', 'and', 'then', 'nothing', 'i', 'need', 'to', 'reset', 'my', 'account', 'login', 'i', 'havent', 'got', 'time', 'to', 'call', 'back', 'again', 'as', 'im', 'very', 'busy', 'please', 'pm', 'me', 'and', 'ill', 'give', 'you@my', 'number', 'to', 'call', 'https://t', 'co/diqaamxx2r']",negative,service - digital
15,"['@revolutapp', 'loveyourpetday', 'heres', 'virgil', 'https://t', 'co/zvxy3ar9l0']",neutral,service - digital
16,"['@natwest_help', 'hi', 'so', 'since', 'you', 'have', 'moved', 'to', 'mastercard', 'your', 'service', 'has', 'been', 'worse', 'https://t', 'co/2nlseydl5r']",negative,service - general
17,"['@monzo', 'so', 'close', 'to', 'the', 'perfect', 'user', 'number', 'so', 'close', 'https://t', 'co/fe8tqewmmq']",positive,general
18,"['had', 'an', 'email', 'from', 'this', 'address', 'today', 'is', 'it', 'genuine', '@hsbc_uk', 'https://t', 'co/ylqe1g4wka']",neutral,general
19,"['@revolutapp', 'is', 'it', 'a', 'regulatory', 'requirement', 'to', 'request', 'my', 'private', 'banking', 'account', 'and', 'routing', 'number', 'no', 'https://t', 'co/et8feswzkd']",neutral,general
20,"['they', 'sent', 'me', 'this', 'e-mail', 'after', 'l', 'got', 'scammed', 'it', ""didn't"", 'help', 'ofc', 'they', 'had', 'have', 'to', 'tell', 'me', 'this', 'when', 'l', 'told', 'them', 'someone', 'is', 'trying', 'to', 'scam', 'me', '(scammers', 'use', 'this', 'one', 'no', 'idea', 'how', 'they', 'know', 'that)', '@revolutbank', '@revolutapp', 'revolut', 'fraud', 'actionfrauduk', 'scam', '@metpoliceuk', 'https://t', 'co/lnhzb4ztuy']",negative,fraud
21,"['@revolutapp', 'metal', 'customer', 'same', 'issue', 'as', 'a', 'few', 'weeks', 'ago', 'provide', 'all', 'docs', 'for', 'a', 'fast', 'solution', 'like', '3', 'weeks', 'ago', 'again', 'left', 'for', 'more', 'than', '20', 'min', 'with', 'no', 'explanation', 'whatsoever', 'and', 'guaranteed', 'can', 'you', 'reinstall', 'the', 'app', 'answer', 'if', 'cs', 'returns', 'frustrating', 'time', 'after', 'time', 'https://t', 'co/mgecjfkibr']",negative,service - digital
22,"['@lloydsbank', 'it', 'was', 'through', 'mylostaccount', 'it', 'was', 'through', 'registered', 'post', 'and', 'i', 'can', 'share', 'the', 'tracking', 'number', 'of', 'it', 'i', 'sent', 'it', 'to', 'dormant', '&amp', 'inactive', 'team', 'andover', 'service', 'centre', 'charlton', 'place', 'andover', 'sp10', '1re']",negative,service - general
23,"['@stinkstopthe', '@jcbmachines', '@redindustries2', '@walleysq', '@bgfinvestments', '@hsbc_uk', 'your', 'investment', 'capital', 'may', 'be', 'at', 'risk', 'worth', 'an', 'investigation']",negative,investors
24,"['@reggblinker', '@shad1126', '@revolutapp', '@revolut', ""that's"", '@revolutapp', 'instead', 'soz']",neutral,general
25,"['@eon_next', 'hi', 'my', 'direct', 'debit', 'is', 'due', 'in', 'monday', 'however', '@hsbc_uk', 'have', 'cashed', 'cancelled', 'checks', 'if', 'i', 'dont', 'get', 'it', 'sorted', 'how', 'can', 'i', 'do', 'my', 'payment', 'they', 'have', 'left', 'me', 'with', 'no', 'money', 'but', 'we', 'are', 'in', 'credit', 'with', 'our', 'account', 'with', 'you', 'im', 'so', 'stressed', 'by', 'it', 'all', 'as', 'they', 'said', 'it', 'was', 'cancelled']",negative,service - general
26,"['@xrshef', 'totally', 'awesome', '-', 'listed', 'at', 'https://t', 'co/xziqoxn0b0', 'feel', 'free', 'to', 'send', 'more', 'info', 'betterwithoutbarclays', '@barclaysuk', 'climatecrisis', 'fossilbanksnothanks']",negative,activism
27,"['so', '@natwest_help', 'can', 'you', 'explain', 'why', 'i', 'cant', 'purchase', 'cryptocurrency', 'with', 'my', 'new', 'debit', 'card', 'you', 'have', 'sent', 'me', 'xrp', 'btc']",negative,crpyto
28,"['@santanderukhelp', 'how', 'can', 'i', 'stop', 'overdrafts', 'am', 'i', 'able', 'to', 'pop', 'in', 'and', 'ask', 'for', 'this', 'or', 'do', 'i', 'have', 'to', 'call', 'in']",neutral,service - general
29,"['@lbgplc', 'a', 'great', 'pity', 'your', 'staff', 'seem', 'to', 'enjoy', 'causing', '91', 'year', 'old', 'housebound', 'widow', 'it', 'is', 'as', 'if', 'your', 'staff', 'training', 'is', 'none', 'existant', 'appalling', 'fail', '@lloydsbank', 'after', '4', 'calls', 'to', 'complaints', 'i', 'emailed', 'press', 'office', 'so', 'you', 'have', 'my', 'details', 'for', 'more', 'info']",negative,service - general
30,"['@santanderukhelp', 'please', 'change', 'it', 'so', 'its', 'right', 'for', 'the', 'basic', 'account']",neutral,general
31,"['@halifaxbank', 'hi', 'laura', ""i'm"", 'sure', 'it', 'was', 'my', 'mum', 'so', ""i'll"", 'ask', 'her', 'tomorrow', 'and', 'get', 'back', 'to', 'you', 'the', 'account', 'is', 'in', 'my', 'name', 'but', ""i've"", 'no', 'idea', 'how', ""it's"", 'linked', 'to', 'my', 'identity', 'other', 'than', 'by', 'name', 'i', 'have', 'the', 'account', 'number', 'etc', 'and', 'i', 'get', 'sent', 'the', 'statements']",negative,service - general
32,"['revolut', 'lets', 'users', 'book', 'trips', 'now', 'pay', 'later', '|', '@pymnts', '/', '@nstoronsky', '/', '@vyatsenko', '/', '@revolutapp', 'https://t', 'co/y88uovm2ja']",positive,service - general
33,"['@lbgplc', '@lloydsbank', 'widow', 'should', 'have', 'been', 'followed', 'by', 'alarm', 'and', 'distress', 'suggesting', 'things', 'like', 'downloading', 'mobile', 'app', 'is', 'just', 'plain', 'stupid', 'breach', 'of', 'equalities', 'act', 'perhaps']",negative,service - general
34,"['my', 'friend', 'is', 'trying', 'to', 'get', 'to', 'me', 'tonight', 'so', 'i', 'have', 'money', 'to', 'get', 'to', 'the', '@hsbc_uk', 'to', 'sort', 'out', 'this', 'nightmare', 'lesson', 'learned', 'never', 'listen', 'to', 'the', 'advice', 'from', 'your', 'bank', 'it', 'gets', 'you', 'into', 'so', 'much', 'trouble', 'https://t', 'co/i7oamkybbx']",negative,service - general
35,"['@barclaysuk', 'whats', 'the', 'point', 'in', 'blue', 'rewards', 'now', 'pay', '5', 'to', 'be', 'given', 'back', '5', 'canny', 'way', 'to', 'treat', 'loyalty']",negative,service - general
36,"['@jamesdelingpole', '@lloydsbank', 'so', 'now', 'we', 'cant', 'buy', 'what', 'we', 'want']",negative,crpyto
37,"['@hsbc_uk', '@lorblossom', '@hsbc_uk', '-', 'could', 'you', 'tell', 'me', 'on', 'which', 'savings', 'accounts', 'will', 'the', 'rates', 'increase', 'and', 'by', 'how', 'much', 'exactly']",neutral,inquiry
38,"['@natwest_help', 'thank', 'you', ':)']",neutral,general
39,"['@lloydsbank', 'if', 'the', 'card', 'is', 'delivered', 'and', 'its', 'a', 'cashpoint', 'card', 'will', 'i', 'have', 'to', 'wait', 'before', 'going', 'to', 'the', 'bank']",neutral,inquiry
40,"['@wise', '@monzo', 'you', 'will', 'look', 'like', 'this', 'if', 'you', 'use', 'wise']",neutral,general
41,"['@natwest_help', 'yeah', 'nice', 'one', 'i', 'like', 'being', 'on', 'hold', 'for', 'best', 'part', 'of', 'the', 'day']",negative,service - general
42,"['@borisjohnson', 'has', 'made', 'london', 'the', 'biggest', 'money-laundering', 'center', 'in', 'the', 'world', 'he', 'will', 'not', 'rock', 'the', 'boat', 'for', 'the', 'banksters', 'who', 'are', 'making', 'big', 'profits', 'just', 'look', 'at', '@barclaysuk', 'profit', 'increase', 'during', 'covid', 'https://t', 'co/vqqctcjaee']",negative,activism
43,"['@lloydsbank', 'how', 'do', 'you', 'suggest', 'i', 'give', 'you', 'the', 'info', 'if', 'you', ""don't"", 'have', 'an', 'email', 'address', 'then', 'if', 'you', ""can't"", 'resolve', 'a', 'simple', 'matter', 'like', 'that', 'then', 'looks', 'like', 'it', 'will', 'be', 'a', 'press', 'release', 'at', '9am', 'to', 'expose', 'how', 'you', 'treat', 'elderly', 'people']",negative,service - general
44,"['@lloydsbank', 'i', 'have', 'no', 'onfidence', 'or', 'trust', 'in', 'you', 'to', 'send', 'details', 'by', 'dm', 'it', 'would', 'also', 'be', 'a', 'very', 'long', 'dm', 'your', 'press', 'office', 'have', 'my', 'email', 'so', 'i', 'suggest', 'you', 'call', 'them', 'to', 'discuss', 'otherwise', 'it', 'will', 'be', 'media', 'release', 'at', '9am', 'on', 'multiple', 'failures', '@lbgplc', '@lloydsbankbiz', '@lloydsbanknews']",negative,service - general
45,"['@lloydsbank', 'have', 'you', 'sorted', 'out', 'an', 'email', 'address', 'yet', 'for', 'use', 'by', 'customer', 'service', 'if', '@lloydsbank', ""can't"", 'afford', 'an', 'email', 'address', 'google', 'offer', 'them', 'for', 'free', 'fail', '@lbgplc', '@lloydsbanknews']",negative,service - general
46,"['@actnowsheff', '@barclaysuk', '@thejuicemedia', '@xrshef', '@money_rebellion', '@time2act4world', '@nicknuttgens', '@iandavidmchugh', '@lutheblue', '@left_luggage', '@greennewdealuk1', '@shefclimatenews', '@grahamwroe', '@shefgreenparent', '@1point5degrees1', 'its', 'only', 'got', 'one', 'ball']",negative,activism
47,"['@revolutapp', ""i'm"", 'really', 'disappointed', 'that', 'revolut', 'is', 'forcing', 'me', 'to', 'update', 'my', 'card', 'when', 'is', 'not', 'expiring', 'yet', 'how', 'come', 'only', 'some', 'ppl', 'are', 'receiving', 'the', 'notification', 'and', 'some', 'others', 'not', 'my', 'card', 'is', 'registered', 'in', 'so', 'many', 'vendors', 'i', 'want', 'you', 'to', 'remove', 'me', 'from', 'this', 'upgrade']",negative,service - general
48,"['@gym_trition', '@revolutapp', 'paper', 'gold', 'is', 'useless', 'you', 'want', 'to', 'have', 'physical', 'gold', 'but', ""it's"", 'expensive']",negative,crpyto
49,"['@revolutapp', 'is', 'there', 'an', 'issue', 'with', 'your', 'app', 'for', 'business', 'banking', ""i'm"", 'trying', 'to', 'register', 'and', 'on', 'where', 'do', 'you', 'conduct', 'business', ""i'm"", 'clicking', ""'uk'"", 'then', ""'continue'"", 'but', 'it', ""won't"", 'continue']",negative,service - digital
50,"['@natwest_help', '@paypal', 'thank', 'you', '@natwest_help', 'your', 'reply', 'and', 'dm', 'was', 'really', 'helpful']",positive,service - general
51,"['@halifaxbank', 'i', 'can', 'never', 'use', 'my', 'online', 'banking', 'because', ""it's"", 'always', 'blocked', 'and', 'i', 'have', 'to', 'call', 'a', 'number', 'and', 'be', 'on', 'hold', 'for', 'at', 'least', '3', 'hours', 'before', 'i', 'give', 'up', 'second', 'time', 'in', '2', 'years', 'my', 'login', 'has', 'been', 'blocked', 'the', 'last', 'time', 'i', 'had', 'to', 'take', 'an', 'hour', 'off', 'work', 'to', 'visit', 'a', 'branch']",neutral,service - digital
52,"[""youcouldn'tmakeitup"", '@lloydsbank', 'have', 'a', 'special', 'phone', 'number', 'for', 'over', ""70's"", '-', 'which', 'they', ""don't"", 'tell', 'over', ""70's"", 'about', 'not', 'really', 'any', 'surprise', 'they', 'prefer', 'to', 'cause', 'alarm', 'and', 'distress', 'to', 'a', '91', 'year', 'old', 'housebound', 'widow', 'fail', '@lbgplc', '@lloydsbanknews', '@bbcr4today', '@justindealey']",negative,service - general
53,"['@monzo', 'monzo', 'is', 'always', 'improving']",positive,service - general
54,"['@tonybrett', 'if', '@lloydsbank', 'give', 'up', 'now', 'most', 'other', 'banks', 'try', 'callimg', 'yhem', 'even', 'now']",negative,service - general
55,"['@nderssond', '@jamesdelingpole', '@lloydsbank', 'i', 'heard', 'it', 'took', 'someone', '2', 'whole', 'years', 'to', 'turn', 'his', 'crypto', 'profit', 'into', 'cash']",negative,crpyto
56,"['@jamesdelingpole', '@lloydsbank', 'wait', 'until', 'you', 'try', 'to', 'sell', 'and', 'see', 'how', 'they', 'react', 'to', 'a', 'remittance', 'from', 'a', 'crypto', 'exchange']",negative,crpyto
57,"['@revolutapp', 'i', 'need', 'to', 'get', 'in', 'contact', 'with', 'you', 'as', 'i', 'lost', 'my', 'phone', 'with', 'my', 'phone', 'number', 'connected', 'to', 'my', 'revolut', 'and', ""can't"", 'log', 'in', 'anymore', 'its', 'urgent', 'please', 'help']",negative,service - general
58,"['@crypto_news24', '@revolutapp', 'hi', 'i', 'am', 'an', 'admin', 'of', 'a', 'promoter', 'with', '280k', 'followers', 'from', 'twitter', 'maybe', 'you', 'want', 'to', 'promote', 'your', 'projects', 'or', 'page', 'with', 'us', 'just', 'send', 'me', 'dm', 'for', 'details', 'thank', 'you']",neutral,inquiry
59,"['hey', '@revolutapp', 'are', 'our', 'funds', 'safe', 'where', 'you', 'hold', 'them', 'in', 'lithuania', 'the', 'war', 'has', 'started', 'apparently']",neutral,inquiry
60,"['@revolutapp', 'done']",neutral,general
61,"['@santanderukhelp', 'hi', 'me', 'again', 'i', 'really', 'need', 'someone', 'to', 'call', 'me', 'today', 'to', 'sort', 'this', 'out', 'this', 'is', 'urgent']",negative,service - general
62,"['tried', 'to', 'set', 'up', 'a', 'new', 'joint', 'account', 'on', '@monzo', '-', 'i', 'had', 'a', 'strange', 'message:', 'we', 'cant', 'offer', 'you', 'a', 'joint', 'account', 'right', 'now', 'and', 'we', 'cant', 'tell', 'you', 'any', 'more', 'about', 'why', 'i', 'dont', 'know', 'if', 'the', 'problem', 'is', 'me', 'or', 'them', 'https://t', 'co/penykemylp']",negative,service - general
63,"['@natwest_help', 'thank', 'you', 'all', 'done']",neutral,general
64,"['recent', 'advert', 'are', 'all', 'those', 'phones', 'with', 'people', 'i', 'wonder', 'if', 'any', 'of', 'those', 'addicts', 'will', 'eventually', 'have', 'anything', 'like', 'healthy', 'and', 'productive', 'interactions', 'with', 'other', 'human', 'beings', 'or', 'will', 'their', 'lives', 'simply', 'be', 'one', 'long', 'dysfunctional', 'interface', 'deus', 'ex-machina', '@lloydsbank', 'https://t', 'co/nuovjjp2a2']",negative,general
65,"['@revolutapp', 'i', 'found', 'a', 'revolut', 'card', 'last', 'night', 'do', 'i', 'destroy', 'it', 'or', 'send', 'it', 'back', 'your', 'way', 'no', 'instructions', 'on', 'the', 'card', 'itself', 'thanks']",negative,service - general
66,"['@monzo', 'this', 'is', 'very', 'true']",neutral,general
67,"['@monzo', 'i', 'invest', 'in', 'one', 'of', 'the', 'best', 'and', 'fastest', 'growing', 'trading', 'and', 'mining', 'company', 'for', 'tron', '(trx)', 'and', 'other', 'altcoins', 'like', 'xrp', 'solana', 'ada', 'shiba', 'and', 'lots', 'more', ""it's"", 'really', 'amazing', ""they're"", 'professional', 'broker', 'firm', 'join', 'now', 'check', 'out', 'https://t', 'co/b1mrugupig', 'https://t', 'co/b1mrugupig']",neutral,inquiry
68,"['@mikegalloway', '@lloydsbank', 'this', 'is', '&lt', '200']",negative,general
69,"['@jackdolbs', '@natwest_help', '$shinu-shinja', 'floki', 'inu', '$shinu', 'is', 'having', 'its', 'stealth', 'launch', 'on', 'the', '1st', 'of', 'march', 'on', 'uniswap', 'between', '2pm', 'and', '4pm', 'utc', 'join', 'our', 'communities:', 'telegram:https://t', 'co/e2falc7ysb', 'website:', 'https://t', 'co/qi8rhmgswa', 'twitter:', 'https://t', 'co/dlyd0rlime']",neutral,crpyto
70,"['@santanderukhelp', 'thank', 'you']",neutral,general
71,"['@lloydsbank', 'i', 'am', 'unable', 'to', 'obtain', 'an', 'email', 'address', 'online', 'to', 'submit', 'documents', 'for', 'a', 'deceased', 'client', 'of', 'yours', 'could', 'you', 'kindly', 'assist']",negative,service - general
72,"['@santanderukhelp', 'wonderful', ""isn't"", 'it']",neutral,general
73,"['lloyds', 'banks', 'profits', 'in', 'the', 'lift', 'as', 'lenders', 'mortgage', 'book', 'surges', 'to', '293bn', 'https://t', 'co/xyq7jm5gc8', 'loyds', '@lloydsbank', 'mortgage', 'lending']",positive,investors
74,"['@monzo', 'they', 'refused', 'to', 'allow', 'me', 'open', 'account', 'with', 'them', 'no', 'reason', 'given']",negative,general
75,"['@halifaxbank', 'im', 'at', 'work', ':/', 'in', 'a', 'shop']",negative,service - general
76,"['@revolutapp', 'pls', 'make', 'it', 'easy', 'to', 'donate', 'to', 'ukraine', 'through', 'your', 'app', 'thx']",neutral,inquiry
77,"['@camsci84', '@hsbc_uk', '@cambslive', 'brought', 'this', 'place', 'in', 'line', 'with', 'many', 'other', 'heritage', 'sites', 'charging', 'a', 'single', 'person', 'admission', 'price', 'that', 'gives', 'you', 'access', 'to', 'the', 'full', 'property', 'as', 'a', 'charity', 'admission', 'fees', 'help', 'fund', 'important', 'conservation', 'work', '(2/2)']",positive,general
78,"['@santanderukhelp', 'hello', 'i', 'want', 'to', 'register', 'for', 'online', 'banking', 'in', 'order', 'to', 'check', 'my', 'mortgage', 'balance', 'i', ""can't"", 'apply', 'online', 'as', 'there', 'is', 'no', 'sort', 'code', 'with', 'a', 'mortgage', 'account', 'i', 'have', 'been', 'on', 'hold', 'a', 'total', 'of', '40', 'minutes', 'in', 'the', 'last', '2', 'days', 'trying', 'to', 'get', 'through', 'to', 'speak', 'to', 'someone', 'can', 'you', 'help']",negative,service - digital
79,"['@santanderukhelp', 'any', 'idea', 'why', 'your', 'apps', 'suddenly', 'telling', 'me', 'my', 'phones', 'not', 'secure', 'i', ""haven't"", 'downloaded', 'anything', 'or', 'changed', 'any', 'setting']",negative,service - digital
80,"['@revolutapp', 'next', 'payday', 'i', 'will', 'not', 'have', 'to', 'wait', 'for', 'your', 'due', 'to', 'the', 'camera', 'in', 'the', 'office', 'at', 'your', 'desk', 'and', 'then', 'the', 'first', 'mc1', 'of', 'my', 'head']",negative,general
81,"['@barclaysuk', 'i', 'have', 'been', 'a', 'customer', 'for', '20+', 'years', 'i', 'have', 'overdrafts', 'with', 'other', 'banks', 'but', 'not', 'with', 'you', 'i', 'can', 'get', 'a', 'loan', 'elsewhere', 'but', 'not', 'with', 'you', 'you', 'are', 'one', 'of', 'the', 'least', 'ethical', 'bank', 'there', 'is', 'out', 'there']",negative,service - general
82,"['@revolutapp', 'what', 'happened', 'to', 'songbird']",neutral,inquiry
83,"['@halifaxbank', 'it', 'just', 'says', 'the', 'message', 'function', 'has', 'an', 'error', 'try', 'again', 'later']",negative,service - digital
84,"['@revolutapp', 'next', 'payday', 'i', 'will', 'need', 'you', 'and', 'tomorrow', 'afternoon', 'or', 'friday', 'morning']",neutral,general
85,"['@revolutapp', 'next', 'payday', 'i', 'will', 'putin', 'savings']",neutral,general
86,"['@santanderukhelp', 'is', 'this', 'a', 'santander', 'number', '+44', '808', '280', '0801']",neutral,inquiry
87,"['@revolutapp', 'next', 'payday', 'i', 'will', 'be', 'have', 'pay']",neutral,general
88,"['@pete4pool', '@revolutapp', 'wan', 'try', 'again', 'in', 'english']",negative,inquiry
89,"['@revolutapp', 'next', 'payday', 'i', 'will', 'flow']",neutral,general
90,"['@revolutapp', 'dear', '@revolutapp', 'i', 'followed', 'you', 'as', 'requested', 'notified', 'you', 'but', 'you', ""haven't"", 'contacted', 'me', 'yet', 'via', 'twitter', 'and', 'i', 'just', 'got', 'yet', 'another', 'mail', 'with', 'request', 'to', 'update', 'my', 'profile']",negative,inquiry
91,"['@revolutapp', 'the', 'black', 'metal', 'card', 'is', 'actually', 'black', 'now', 'great', 'job', 'https://t', 'co/pckiibt4zb']",positive,service - general
92,"['@revolutapp', 'next', 'payday', 'i', 'will', 'buy', 'shib', 'shibarmystrong', 'https://t', 'co/pwc0x4xvpp']",positive,crpyto
93,"['@revolutapp', 'next', 'payday', 'i', 'will', 'have', 'to', 'pay', 'for', 'my', 'credit', 'card', 'and', 'then', 'go', 'to', 'the', 'store']",neutral,general
94,"['@mudigene', '@monzo', 'they', ""don't"", 'have', 'to', 'justify', 'themselves', 'to', 'you']",negative,general
95,"['@revolutapp', 'stii', 'be', 'waiting', 'for', 'revolut', 'to', 'finalize', 'the', 'promised', 'sgb', 'airdrop', 'shame', 'on', 'you', 'guys']",negative,crpyto
96,"['@revolutapp', 'no', 'customer', 'support', 'for', 'users', 'stuck', 'in', 'between', 'new', 'registration', 'which', 'is', 'very', 'frustrating', 'i', 'reg', 'my', 'number', 'with', 'india', 'by', 'mistake', 'and', 'want', 'to', 'signup', 'account', 'with', 'same', 'no', 'for', 'hungary', 'now', 'i', 'am', 'unable', 'to', 'signup', 'and', 'while', 'i', 'login', 'to', 'app', 'it', 'will', 'ask', 'me', 'to', 'stay', 'in', 'queue']",negative,service - general
97,"['@strong_teacher', '@monzo', 'unfortunately', 'it', 'was']",neutral,general
98,"['@halifaxbank', 'its', 'ok', '-', 'i', 'just', 'kept', 're-trying', 'sorted', 'now', 'thank', 'you']",negative,service - digital
99,"['@federicokappe', '@davidbrear', '@get_chip', '@revolutapp', 'would', 'make', 'a', 'good', 'merger']",positive,investors
100,"['@monzo', 'messaged', 'me', 'about', 'their', 'new', 'product', '(i', 'guess', 'some', 'bnpl)', 'clicked', 'on', 'the', 'push', 'notification', 'thinking', ""it's"", 'some', 'charge', 'you', 'are', 'not', 'eligible', 'for', 'monzo', 'flex', 'thanks', 'app', 'now', 'i', 'am', 'obsessed', 'with', 'why', 'this', 'is']",positive,service - general
101,"['@hsbc_uk', 'hi', 'there', 'i', 'have', 'bank', 'account', 'with', 'hsbc', 'uk', 'which', 'has', 'opened', 'during', 'my', 'stay', 'in', 'london', 'i', 'would', 'like', 'to', 'close', 'it', 'can', 'you', 'please', 'guide', 'me', 'to', 'how', 'do', 'it', 'i', 'am', 'not', 'uk', 'now', 'came', 'back', 'to', 'india', 'thanks', 'sagar']",neutral,inquiry
102,"['@hsbc_uk', 'i', 'have', 'had', 'a', 'new', 'phone', 'with', 'android', '11', 'i', 'can', 'install', 'the', 'mobile', 'banking', 'app', 'but', 'when', 'i', 'try', 'to', 'open', 'it', 'it', 'just', 'keeps', 'rebooting', 'my', 'phone', 'i', 'have', 'uninstalled', 'and', 'reinstalled', 'several', 'times', 'but', 'it', 'is', 'still', 'not', 'working', 'please', 'can', 'you', 'help']",negative,service - digital
103,"['@revolutapp', 'next', 'payday', 'i', 'will', 'get', 'paid', 'by', 'revolut']",neutral,general
104,"['@lloydsbank', 'im', 'using', 'the', 'app', 'it', 'says', 'there', 'are', 'no', 'payees', 'set', 'up', 'on', 'all', '3', 'of', 'my', 'accounts']",negative,service - digital
105,"[""there's"", 'a', 'reason', 'why', '@revolutapp', 'is', 'winning', 'the', 'digital', 'nomad', 'market', 'they', 'improve', 'their', 'tech', 'and', 'adjust', 'to', 'our', 'way', 'of', 'life', 'replacing', 'my', 'cards', 'took', 'me', '5', 'minutes', 'and', ""they'll"", 'deliver', 'it', 'for', 'free', 'to', 'any', 'location', 'would', 'a', 'traditional', 'bank', 'from', 'your', 'home', 'country', 'do', 'the', 'same', 'https://t', 'co/wdvpgea719']",positive,service - digital
106,"['@natwest_help', 'my', 'app', 'shows', 'as', '99+', 'notifications', 'is', 'there', 'a', 'way', 'to', 'mark', 'all', 'as', 'read', 'that', ""i'm"", 'missing', 'kind', 'of', 'loses', 'the', 'impact']",negative,service - digital
107,"['@santanderukhelp', ""i'm"", 'thinking', 'of', 'relocating', 'abroad', 'would', 'i', 'still', 'be', 'able', 'to', 'bank', 'with', 'you', 'or', 'would', 'i', 'need', 'to', 'change', 'banks']",neutral,inquiry
108,"['@monzo', '2/2', 'and', 'then', 'it', 'would', 'often', 'require', 'you', 'to', 'confirm', 'a', 'transaction', 'in', 'the', 'app', 'which', 'updates', 'way', 'too', 'often', 'and', 'requires', 'a', 'login', 'via', 'email', 'link', 'every', 'time', '-', 'so', 'youre', 'watching', 'animations', 'of', 'envelopes', 'whilst', 'the', 'queue', 'behind', 'you', 'tuts', 'and', 'looks', 'at', 'their', 'watches', 'not', 'quick/streamlined']",negative,service - digital
109,"['@natwest_help', 'cheers', 'works', 'well']",positive,service - general
