text,bank,sentiment,label,,bank,sentiment,label
@RevolutApp Next payday I will have to pay for my credit card and then go to the store 🏬,Revolut,neutral,general,,,,
@MudiGene @monzo They don't have to justify themselves to you,Monzo,negative,general,,,,
@RevolutApp Stii be waiting for Revolut to finalize the promised #SGB airdrop … shame on you guys,Revolut,negative,crpyto,,,,
"@RevolutApp 
No Customer support for Users stuck in between new registration which is very frustrating.  
I reg my number with India by mistake and want to signup account with same no. for Hungary. Now I am unable to signup and while I login to app it will ask me to stay in queue",Revolut,negative,service - general,,,,
@strong_teacher @monzo Unfortunately it was,Monzo,neutral,general,,,,
"@HalifaxBank It’s ok - I just kept re-trying.  Sorted now, thank you",Halifax,negative,service - digital,,,,
@federicokappe @davidbrear @Get_Chip @RevolutApp Would make a good merger!,Revolut,positive,investors,,,,
"• @monzo messaged me about their new product (I guess some BNPL)
• clicked on the push notification thinking it's some charge
• ""You are not eligible for Monzo Flex""

Thanks, app, now I am obsessed with why this is ...",Monzo,positive,service - general,,,,
"@HSBC_UK Hi There,

I have bank account with HSBC UK which has opened during my stay in London . i would like to close it . Can you please guide me to how do it. I am not UK now came back to India . 

Thanks
Sagar .",HSBC,neutral,inquiry,,,,
"@HSBC_UK

I have had a new phone with Android 11.  I can install the Mobile banking app but when I try to open it  it just keeps rebooting my phone.  I have uninstalled and reinstalled several times but it is still not working. Please can you help?",HSBC,negative,service - digital,,,,
@RevolutApp Next payday I will get paid by Revolut,Revolut,neutral,general,,,,
@LloydsBank I’m using the App. It says there are no payees set up on all 3 of my accounts,NatWest,negative,service - digital,,,,
"There's a reason why @RevolutApp is winning the digital nomad market. They improve their tech and adjust to our way of life. Replacing my cards took me 5 minutes, and they'll deliver it for free to any location.

🏦 Would a traditional bank from your home country do the same? https://t.co/WdVPgeA719",Revolut,positive,service - digital,,,,
@NatWest_Help My app shows as 99+ notifications. Is there a way to mark all as read that I'm missing...? Kind of loses the impact.,NatWest,negative,service - digital,,,,
"@santanderukhelp I'm thinking of relocating abroad, would I still be able to bank with you or would I need to change banks?",Santander,neutral,inquiry,,,,
"@monzo 2/2 and then it would often require you to confirm a transaction in the app, which updates way too often and requires a login via email link every time - so you’re watching animations of envelopes whilst the queue behind you tuts and looks at their watches. Not quick/streamlined",Monzo,negative,service - digital,,,,
"@NatWest_Help Cheers, works well",NatWest,positive,service - general,,,,
@avochie @drivingmemadi @HSBC_UK Time to change banks. Considering switching myself from the climate trashing HSBC to someone more environmentally conscious,HSBC,negative,activism,,,,
"@HalifaxBank Fake tweets! 

Anyone dealing with you is in for big loses!",Halifax,negative,service - general,,,,
@RevolutApp Next payday I will send that songbird I owe you bro,Revolut,neutral,general,,,,
@monzo how do I order a replacement card in coral pink instead of investor blue? Happy to be an investor - but I want my pink card! 💗,Monzo,positive,service - general,,,,
"SAVE THE DATE 📆 

On Wednesday 9 March 2022, @EnglandFootball and @BarclaysUK are putting on the Biggest Ever Football Session for girls in school - #LetGirlsPlay!

Schools can get involved and download free resources here 👇

https://t.co/KNt6IJvbm1 https://t.co/5owDK24LKY",Barclays,positive,investors,,,,
"@HalifaxBank 
How long does a mobile cheque deposit take to clear?",Halifax,neutral,inquiry,,,,
"@santanderukhelp Hi, I have tried to access my mobile banking app this morning but I'm presented with a screen saying we've stopped the app for your safety. It also mentions my phone may be rooted. I have been using the app for months with no issues until today. Please help!",Santander,neutral,service - digital,,,,
@monzo I’m paid by BACS but my money only appears in my account Friday morning and I don’t get it early. Is there a cut off time when the payment has to be processed/instruction sent to the bank to get it early?,Monzo,neutral,inquiry,,,,
@HalifaxBank It shows 5pm next working day which is tomorrow.,Halifax,neutral,inquiry,,,,
@HalifaxBank Yes it seems to be on certain occasions the contactless just doesn’t work but if I use my chip &amp; pin it’ll work. It’s not either because I’ve used contactless in a short space of time. Just tried one shop and it wouldn’t work then the next it was fine,Halifax,negative,service - general,,,,
"@RevolutApp 
I sold AMC shares last week but the funds still hasn't been transferred to my wallet yet. What gives?",Revolut,negative,service - general,,,,
@NatWest_Help is there an issue with your biometrics system? I’ve been locked out of my app for 5 times today,NatWest,negative,service - digital,,,,
@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz @AlphaFinanceLab @zksync @argentHQ @peckshield @Kurt_M_Barry @code4rena @immunefi @trailofbits @chainlink @CurveFinance @mstable_ @AaveAave @compoundfinance @iearnfinance @WalletConnect 🔹 The community has requested features enabling higher short-term rewards if they do not want to vest (e.g. option to get 30% of rewards and give up 70% to other token holders),Revolut,neutral,general,,,,
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz @AlphaFinanceLab @zksync @argentHQ @peckshield @Kurt_M_Barry @code4rena @immunefi @trailofbits @chainlink @CurveFinance @mstable_ @AaveAave @compoundfinance @iearnfinance 🔹 Yearn uses a greedy allocator algorithm that optimizes for yield. It doesn’t try to compartmentalize the different strategies
🔹 The Gro Protocol Vault are multi-asset with risk tranching and risk balancing",Revolut,neutral,crpyto,,,,
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz @AlphaFinanceLab @zksync @argentHQ @peckshield @Kurt_M_Barry @code4rena @immunefi @trailofbits @chainlink @CurveFinance @mstable_ @AaveAave @compoundfinance Are they a fork of @iearnfinance V2?

🔹 Some parts of their code are derived from Yearn
🔹 The way that capital is allocated between different strategies is different from Yearn",Revolut,neutral,crpyto,,,,
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz How did they decide to go with @avalancheavax

🔹 Their community has been clamouring for Avalanche
🔹 One of their partners, @AlphaFinanceLab, is launching on Avalanche https://t.co/DvEvulVcEN",Revolut,neutral,crpyto,,,,
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz Token gating

🔹 At launch, they have used 500 GRO tokens as a token gate
🔹 Wanted to make sure that the most committed DAO members get priority access to the high yields in Labs
🔹 Will be experimenting with different deposit caps for Labs https://t.co/Q8E9AvrAvL",Revolut,neutral,crpyto,,,,
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc @avalancheavax @traderjoe_xyz 🔹 When $AVAX price is out of that range, they close the position so as to avoid impermanent loss as AVAX price goes up or down
🔹 When users close their position, they end up having more or less $AVAX than when they initiated the position",Revolut,neutral,crpyto,,,,
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc 🔹 It also comes with protection if any of the underlying stablecoins/protocols fail
🔹 For users who are looking for a higher yield, they have Vault for them",Revolut,neutral,crpyto,,,,
@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc 🔹 They are gearing their protocol towards higher yielding strategies with a more aggressive risk profile for users who are risk-on while making sure those who prefer lower risk can still use PWRD,Revolut,neutral,crpyto,,,,
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc What does Gro mean?

🔹 It’s a Swedish word for grow
🔹 It’s also the French word for fat https://t.co/XZI8AM9rvY",Revolut,neutral,crpyto,,,,
"@groprotocol @CRE8RDAO @graadient @Spotify @RevolutApp @joyceyyc Jona
🔹 Came from a payments background
🔹 Recently joined Gro",Revolut,neutral,crpyto,,,,
"@groprotocol @CRE8RDAO Background

@graadient
🔹 Previously, he led new market growth at @Spotify
🔹 After that, he was VP Growth in @RevolutApp
🔹 Started building Gro Protocol 1.5 years ago https://t.co/qFEpXjAbdl",Revolut,neutral,crpyto,,,,
"My wife gets a new credit card for our joint account. She can't add it to the wallet on her phone without me adding it first; bonkers. Who actually worked out what the use cases were? 

""Help"", of course, is provided by a stunningly useless ""digital assistant"". @NatWest_Help",NatWest,negative,service - digital,,,,
"❗️ STARTING SOON: @HSBC_UK Financial Fitness Workshop 3, Borrowing Money &amp; Understanding Interest! Today at 1:30PM

Evaluating borrowing, saving and credit card options.

Sign up here: https://t.co/KKfWfIOH1a

#NSMW22 @NASMA_uk",HSBC,positive,activism,,,,
@RevolutApp Worst experience for the first time itself. Unable to get correct account and response for open issues.,Revolut,negative,service - digital,,,,
@RevolutApp I'm ok with that part. Just would like to know when the existing card I still use will be cancelled? Thanks.,Revolut,negative,service - general,,,,
"@NatWest_Help trying to get through to your fraud line is tremendously slow.
15 minutes and counting",NatWest,negative,fraud,,,,
"@monzo Hello! I’m a Premium customer with AXA travel insurance - is there a way to get a certificate for my insurance please, that confirms I’m covered? Can’t seem to see how…thanks!",Monzo,negative,service - digital,,,,
@RevolutApp I will send some money to some of the poor people you screwed over with your scammy tactics,Revolut,negative,service - general,,,,
"Fay Jordan from @BarclaysUK on why they're taking virtual connection forward:

""The transition to online has been a big shift, most of the volunteering we did was face-to-face. But it's definitely brought benefits, enabling different populations in the business to take part.""",Barclays,positive,activism,,,,
@HalifaxBank I think you have not understood my previous message. Your automated system automatically hands up on me. Are you telling me to keep trying to call a system that tells me they are not dealing with my query?      Please be serious!,Halifax,negative,service - digital,,,,
"@NatWest_Help Bridgend Branch closed today ""due to unforeseen circumstances"".
It was clearly foreseeable, waiting to happen when local branches permanently closed in Cowbridge, Porthcawl and many other locations around Bridgend.
A wasted journey for me today.",NatWest,negative,service - general,,,,
"@monzo They closed my account because I won a bet from William hill. They asked me to explain why I had such a high amount paid in, they’re ridiculous",Monzo,negative,service - general,,,,
".
Co-op Bank mortgage lending up 185% to £2.4bn as Manchester lender returns to profit and looks for deals -Northern Financial Review

https://t.co/Be9XyfysE5

@CooperativeBank #Manchester #mortgage #banks @TSB @sabadellpress @BancoSabadell @VirginMoneyNews @TescoBankNews #stocks https://t.co/6XSVLAsEZi",CoOp,positive,investors,,,,
@HalifaxBank Why is my local branch closed due to a member of staff being in contact with someone that has tested positive for covid.  They have a sign telling us to use the Crewe branch which is a 35 minute drive away. 1/3,Halifax,negative,service - general,,,,
"Hi @RevolutApp can you add support right from the app to donate to Ukraine bank to help them?

Adding them to the fundraisers? 

https://t.co/92sv8fwCsY",Revolut,neutral,inquiry,,,,
@santanderukhelp I need urgent help can someone DM me,Santander,neutral,inquiry,,,,
"Barclays' summer and off-cycle internships and our wide range of graduate schemes are great opportunities to experience the world of finance.

They have a wide range of opportunities for #STEM students and graduates on their Gradcracker Hub.

https://t.co/8IiGfeu3Zi

@BarclaysUK https://t.co/2vbrGrhkWG",Barclays,positive,activism,,,,
"@HSBC_UK In order for me to reply, I need assurances this will be fully investigated and with full transparency. Those responsible are without doubt nothing but criminals. 3 years of fighting your bank, whilst looking after my terminally ill wife. All this when your bank contacted me.",HSBC,negative,service - general,,,,
"@HalifaxBank customer (dis)service is really appalling. I called to ask for help restoring access, agent is not listening, keeps interrupting and telling me to use password reset on broken/non-working Halifax website. 
I have not seen such bad customer service in YEARS!",Halifax,negative,service - digital,,,,
@LloydsBank Multiple retails &amp; no messages from Lloyds :),Lloyds,negative,service - general,,,,
@CraigFoster13 @monzo Same mate,Monzo,neutral,general,,,,
@monzo Dodgy company to work for. Wolf in sheeps clothing.,Monzo,negative,general,,,,
"@LloydsBank @Sammijayjax Hi Tony, we are also having this problem, and do not have another method of paying salaries. Is there an email address or any other way to contact the Telepay team?",Lloyds,negative,service - general,,,,
I'm taking out the money from @RevolutApp as they haven't even replied if the accounts can get frozen because of the war and Lithuania state of emergency.,Revolut,negative,service - general,,,,
"@HalifaxBank Just spoken to a lovely bloke called Brandon, he managed to sort it after spending some time investigating it, rather than just transferring me to another team. The world needs more Brandon’s. #bemorebrandon",Halifax,positive,service - general,,,,
@santanderukhelp Never mind - we’ll make the 48 mile round trip (one of the reasons the account is being closed) to a branch to sort it out. #santander #nolongerlocal,Santander,negative,service - general,,,,
@ChoniMead @BankofScotBiz @LloydsBank Thank you. I'm getting nowhere.,Lloyds,negative,service - general,,,,
"@LloydsBank Thanks Claire, is there another option? A one off email we can send the information to so someone at the other end can submit it?",Lloyds,negative,service - general,,,,
@HalifaxBank The staff at your Sidcup branch are not very helpful. End of tweet.,Halifax,negative,service - general,,,,
@RevolutApp followed!,Revolut,neutral,general,,,,
"@LloydsBank Can we change submission for tomorrow? We need to pay staff, at least if we can phone through tomorrow it will be a day late, this can have a big impact if it goes beyond a day. There should be a back up in place for these situations",Lloyds,negative,service - general,,,,
@JackHODLr @monzo The banking system is corrupt and always will be,Monzo,negative,activism,,,,
"@CooperativeBank That’s what the customer did, but has now received phone call from bank asking for some sort of security number, customer no idea what or where that is. Cheque books used to be sent out automatically, are they not now?",CoOp,negative,service - general,,,,
@santanderukhelp again and again I’m left waiting on a helpline. The record is I hour 40   So far today it’s 40mins. What’s going on? #betterthingstodo,Santander,negative,service - general,,,,
"@santanderukhelp tried to pay somebody online and online banking has Locked me out and I've been on hold for 20 minutes now, I can't hold for much longer and really need access to my accounts",Santander,negative,service - digital,,,,
@santanderukhelp Does Santander only operate online? Only no one answers the phone!,Santander,negative,service - digital,,,,
@philskyross1962 @LloydsBank Typical of what happens these days 😡 Hope you get it sorted soon 🤞,Lloyds,negative,service - general,,,,
@santanderukhelp Ordered 21 January. Ordered again  7 February.  This is for a savings account which cannot be printed from online banking.,Santander,negative,service - digital,,,,
@monzo paid off and closed my overdraft at long last today. https://t.co/2P4OQPANlr,Monzo,negative,service - general,,,,
"@monzo It helps to snitch out those asking for child fare on the bus as well, seeing as you have to be over 16 to have one 😂",Monzo,negative,service - general,,,,
@santanderukhelp Not good enough I’m afraid. You are losing out on a mortgage application!,Santander,negative,service - general,,,,
